lond,latd,Date,Time,yy,mm,day,lond,,latd,hhooks,alb_mt,alb_kghhks,bet_mt,bet_kghhks,pbf_mt,pbf_kghhks,skj_mt,skj_kghhks,sbf_mt,sbf_kghhks,yft_mt,yft_kghhks,tun_mt,tun_kghhks,Date
-174.5,-17.5,2/27/2005,12:00,2005,2,27,185.5,-174.5,-17.5,14,0,0,0.27,19.286,0,0,0,0,0,0,0.11,7.857,0.38,27.143,2/27/2005
-173.5,-18.5,2/27/2005,12:00,2005,2,27,186.5,-173.5,-18.5,16.5,0.12,7.273,0.115,6.97,0,0,0,0,0,0,0.295,17.879,0.53,32.121,2/27/2005
-175.5,-17.5,2/28/2005,12:00,2005,2,28,184.5,-175.5,-17.5,14,0,0,0.35,25,0,0,0,0,0,0,0.09,6.429,0.44,31.429,2/28/2005
-175.5,-19.5,3/1/2005,12:00,2005,3,1,184.5,-175.5,-19.5,24.3,0.578,23.786,0.03,1.235,0,0,0.01,0.412,0,0,0.04,1.646,0.658,27.078,3/1/2005
-174.5,-17.5,3/1/2005,12:00,2005,3,1,185.5,-174.5,-17.5,14,0,0,0.32,22.857,0,0,0,0,0,0,0.24,17.143,0.56,40,3/1/2005
-175.5,-19.5,3/2/2005,12:00,2005,3,2,184.5,-175.5,-19.5,24.3,0.323,13.292,0,0,0,0,0.01,0.412,0,0,0.1,4.115,0.433,17.819,3/2/2005
-174.5,-18.5,3/2/2005,12:00,2005,3,2,185.5,-174.5,-18.5,14,0.03,2.143,0.2,14.286,0,0,0,0,0,0,0.08,5.714,0.31,22.143,3/2/2005
-175.5,-19.5,3/3/2005,12:00,2005,3,3,184.5,-175.5,-19.5,24.3,0.204,8.395,0.12,4.938,0,0,0.005,0.206,0,0,0.04,1.646,0.369,15.185,3/3/2005
-174.5,-20.5,3/3/2005,12:00,2005,3,3,185.5,-174.5,-20.5,45.5,0.29,6.374,0.1,2.198,0,0,0,0,0,0,0.38,8.352,0.77,16.923,3/3/2005
-175.5,-19.5,3/4/2005,12:00,2005,3,4,184.5,-175.5,-19.5,49.3,0.204,4.138,0.1,2.028,0,0,0,0,0,0,0.25,5.071,0.554,11.237,3/4/2005
-174.5,-20.5,3/4/2005,12:00,2005,3,4,185.5,-174.5,-20.5,44,0.117,2.659,0.04,0.909,0,0,0,0,0,0,0.185,4.205,0.342,7.773,3/4/2005
-175.5,-19.5,3/5/2005,12:00,2005,3,5,184.5,-175.5,-19.5,25,0.135,5.4,0,0,0,0,0,0,0,0,0,0,0.135,5.4,3/5/2005
-174.5,-20.5,3/5/2005,12:00,2005,3,5,185.5,-174.5,-20.5,62.5,0.221,3.536,0.45,7.2,0,0,0,0,0,0,0.685,10.96,1.356,21.696,3/5/2005
-174.5,-20.5,3/6/2005,12:00,2005,3,6,185.5,-174.5,-20.5,26,0,0,0,0,0,0,0,0,0,0,0.7,26.923,0.7,26.923,3/6/2005
-174.5,-18.5,3/6/2005,12:00,2005,3,6,185.5,-174.5,-18.5,25,0.135,5.4,0.03,1.2,0,0,0,0,0,0,0.12,4.8,0.285,11.4,3/6/2005
-174.5,-14.5,3/6/2005,12:00,2005,3,6,185.5,-174.5,-14.5,18,0.49,27.222,0.019,1.056,0,0,0,0,0,0,0.066,3.667,0.575,31.944,3/6/2005
-173.5,-20.5,3/6/2005,12:00,2005,3,6,186.5,-173.5,-20.5,37,0.104,2.811,0.37,10,0,0,0,0,0,0,0.09,2.432,0.564,15.243,3/6/2005
-174.5,-20.5,3/7/2005,12:00,2005,3,7,185.5,-174.5,-20.5,42,0.07,1.667,0.1,2.381,0,0,0,0,0,0,0.625,14.881,0.795,18.929,3/7/2005
-174.5,-14.5,3/7/2005,12:00,2005,3,7,185.5,-174.5,-14.5,18,0.49,27.222,0.019,1.056,0,0,0,0,0,0,0.066,3.667,0.575,31.944,3/7/2005
-173.5,-20.5,3/7/2005,12:00,2005,3,7,186.5,-173.5,-20.5,20,0.09,4.5,0.06,3,0,0,0,0,0,0,0,0,0.15,7.5,3/7/2005
-174.5,-21.5,3/8/2005,12:00,2005,3,8,185.5,-174.5,-21.5,20,0.162,8.1,0,0,0,0,0,0,0,0,0,0,0.162,8.1,3/8/2005
-174.5,-20.5,3/8/2005,12:00,2005,3,8,185.5,-174.5,-20.5,25.5,0,0,0,0,0,0,0,0,0,0,0.38,14.902,0.38,14.902,3/8/2005
-173.5,-20.5,3/8/2005,12:00,2005,3,8,186.5,-173.5,-20.5,17,0.045,2.647,0.05,2.941,0,0,0,0,0,0,0.21,12.353,0.305,17.941,3/8/2005
-175.5,-21.5,3/9/2005,12:00,2005,3,9,184.5,-175.5,-21.5,16,0,0,0,0,0,0,0,0,0,0,0.04,2.5,0.04,2.5,3/9/2005
